branch,review,restaurant,Review_Date,source_file,review_text,predicted_issue_category,confidence,issue_cluster,chain,emotion,emotion_conf,urgency_score,escalate
Adyar+Ananda+Bhavan+ +A2B,"worst experience i've had at an a2b, especially in coimbatore gandhipuram branch. the food quality was far below expectations. the sambar tasted bland and felt …",A2B,2026-05-24,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"worst experience i've had at an a2b, especially in coimbatore gandhipuram branch. the food quality was far below expectations. the sambar tasted bland and felt …",Food Quantity & Value for Money,0.67,2,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"lunch menu idli dosa, uttapam not available. dal, rice and vegetable menu served. taste and quality is good. staff is courteous.",A2B,2026-03-23,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"lunch menu idli dosa, uttapam not available. dal, rice and vegetable menu served. taste and quality is good. staff is courteous.",Food Variety & Fast Service,0.24,41,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"it was an unplanned quick visit during our ride to kovai. just checked in to have some cool drinks, and the order process was tiring, and nobody was there to help with. got the order delivered only after 15 minutes that, too, just 2 orange …",A2B,2026-03-03,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"it was an unplanned quick visit during our ride to kovai. just checked in to have some cool drinks, and the order process was tiring, and nobody was there to help with. got the order delivered only after 15 minutes that, too, just 2 orange …",Food Quantity & Value for Money,0.4433333333333334,50,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"hopeless! very rude staff. before boarding my bus, went in to get a coffee and take out breakfast. i was told to sit and someone would come and attend. waiters are just walking around . sat for 5 minutes. they keep talking to each other, but no one would attend. got frustrated and left. customer service is zero.",A2B,2026-03-31,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"hopeless! very rude staff. before boarding my bus, went in to get a coffee and take out breakfast. i was told to sit and someone would come and attend. waiters are just walking around . sat for 5 minutes. they keep talking to each other, but no one would attend. got frustrated and left. customer service is zero.",Slow Service & Staff Negligence,0.17,50,A2B,frustration,heuristic,2,False
Adyar+Ananda+Bhavan+ +A2B,i had a sweet paniyaram which is very good taste but outer surface is very hard to bite which made my teeth painful. please make that as soft as possible to enjoy the delicious,A2B,2026-03-18,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,i had a sweet paniyaram which is very good taste but outer surface is very hard to bite which made my teeth painful. please make that as soft as possible to enjoy the delicious,Poor Experience & Food Hygiene Complaints,0.2666666666666667,36,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"we visited hotel and had to wait for a very long time. the servers were extremely slow and the service was delayed. this should not happen, especially for a place with such a good reputation. please ensure your staff attend to customers more quickly and efficiently.”",A2B,2026-05-11,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"we visited hotel and had to wait for a very long time. the servers were extremely slow and the service was delayed. this should not happen, especially for a place with such a good reputation. please ensure your staff attend to customers more quickly and efficiently.”",Food Quantity & Value for Money,0.44,-1,A2B,frustration,heuristic,2,False
Adyar+Ananda+Bhavan+ +A2B,limited options for jain food was available. jain food prepared was tasty. dodha burfi in sweets was too tasty. it just melts in mouth. i liked the sweets …,A2B,2026-03-12,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,limited options for jain food was available. jain food prepared was tasty. dodha burfi in sweets was too tasty. it just melts in mouth. i liked the sweets …,Service Quality,0.2733333333333333,-1,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"today during dinner, the service quality was very disappointing. none of the staff seemed attentive to customers. the waiters and captains were moving around without any focus, and there was no proper monitoring of the floor. …",A2B,2026-05-04,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"today during dinner, the service quality was very disappointing. none of the staff seemed attentive to customers. the waiters and captains were moving around without any focus, and there was no proper monitoring of the floor. …",Food Quantity & Value for Money,0.2933333333333333,50,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,i have been visiting this place once in a while since 9 years. i just noticed that i never reviewed this place yet. the food here is exceptionally good usually though there was a small difference today. i would have reduced more stars for …,A2B,2026-04-16,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,i have been visiting this place once in a while since 9 years. i just noticed that i never reviewed this place yet. the food here is exceptionally good usually though there was a small difference today. i would have reduced more stars for …,Food Quantity & Value for Money,0.3433333333333333,-1,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,i normally eat in a2b but this one the staff were not good. they were slow and made me wait a lot. i've given 4 starts for food.,A2B,2026-03-29,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,i normally eat in a2b but this one the staff were not good. they were slow and made me wait a lot. i've given 4 starts for food.,Cleanliness & Restroom Hygiene,0.58,2,A2B,frustration,heuristic,2,False
Adyar+Ananda+Bhavan+ +A2B,"as always a2b stands firm with their quality & also its service, cos the welcoming was so warm when we stepped inside early morning for breakfast at 6.30am offcourse it was served hot & with warm gesture …",A2B,2026-03-01,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"as always a2b stands firm with their quality & also its service, cos the welcoming was so warm when we stepped inside early morning for breakfast at 6.30am offcourse it was served hot & with warm gesture …",Food Quantity & Value for Money,0.5066666666666667,2,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"visited on 10/09/2025 for breakfast. idli,wada, uttapa ordered. great taste.fast service.must drink coffee here.they have branches outside india also.",A2B,2026-02-01,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"visited on 10/09/2025 for breakfast. idli,wada, uttapa ordered. great taste.fast service.must drink coffee here.they have branches outside india also.",Slow Service & Staff Negligence,0.34,-1,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,good for a vegetarian lunch and dinner. service is good with courteous staff. table cleaning is poor and so is the hand wash.,A2B,2026-05-21,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,good for a vegetarian lunch and dinner. service is good with courteous staff. table cleaning is poor and so is the hand wash.,Food Quantity & Value for Money,0.4533333333333333,-1,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"i have been to many outlets of a2b, but the outlet in this area and my experience was not at all good, i found the staff really rude and disrespectful, also the quality off food they have served was really bad, and hygiene i will rate 0, i …",A2B,2026-05-27,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"i have been to many outlets of a2b, but the outlet in this area and my experience was not at all good, i found the staff really rude and disrespectful, also the quality off food they have served was really bad, and hygiene i will rate 0, i …",Food Quantity & Value for Money,0.41,2,A2B,frustration,heuristic,6,True
Adyar+Ananda+Bhavan+ +A2B,hrithik roshan is an amazing human. very sincere and genuine. he was very attentive and served with a smile. he'll come up great in life. thanks for choosing and training your service people very well.,A2B,2026-05-19,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,hrithik roshan is an amazing human. very sincere and genuine. he was very attentive and served with a smile. he'll come up great in life. thanks for choosing and training your service people very well.,Service Quality,0.2033333333333333,44,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,had mushroom and paneer sizzler. food was really tasty. the service person mr.pratap and manager mr. saravanamooorthy was very engaging to help us to select the platter. a great experience overall.,A2B,2026-02-15,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,had mushroom and paneer sizzler. food was really tasty. the service person mr.pratap and manager mr. saravanamooorthy was very engaging to help us to select the platter. a great experience overall.,Food Quantity & Value for Money,0.4233333333333333,36,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"don’t go during hungry hrs, u will not be welcomed or pleased to service, we have to find the going to be empty table, need to call the cleaner by own or better u clean it bez clearner person will take own time… …",A2B,2026-01-11,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"don’t go during hungry hrs, u will not be welcomed or pleased to service, we have to find the going to be empty table, need to call the cleaner by own or better u clean it bez clearner person will take own time… …",Food Quantity & Value for Money,0.5233333333333333,50,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"excellent dining experience at a2b, coimbatore. the food is fresh, tasty and consistently good. the dosas were crisp, the chutneys flavorful and the service was quick and courteous. the restaurant is clean well organized and family …",A2B,2026-04-30,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"excellent dining experience at a2b, coimbatore. the food is fresh, tasty and consistently good. the dosas were crisp, the chutneys flavorful and the service was quick and courteous. the restaurant is clean well organized and family …",Food Quantity & Value for Money,0.4866666666666667,32,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"choose to try the new menu sizzlers the presentation and taste was good, beside this rawa tossai and fried rice also deserve a good thumbs up👍, great job adayar gandhipuram a2b …",A2B,2025-12-30,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"choose to try the new menu sizzlers the presentation and taste was good, beside this rawa tossai and fried rice also deserve a good thumbs up👍, great job adayar gandhipuram a2b …",Food Quantity & Value for Money,0.4766666666666667,-1,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,wonderful dining experience. the staffs were very professional. the food quality was amazing :) would love to keep visiting.,A2B,2026-01-26,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,wonderful dining experience. the staffs were very professional. the food quality was amazing :) would love to keep visiting.,Food Quantity & Value for Money,0.4666666666666667,47,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"travelled all d way from bihar,a2b coimbatore was really refreshing dinner stop.....as hosting assisted by manager setu je,we enjoyed delicious masala dosa and ultimate paneer biryani..ended wd tasty tea treat👍 …",A2B,2026-05-06,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"travelled all d way from bihar,a2b coimbatore was really refreshing dinner stop.....as hosting assisted by manager setu je,we enjoyed delicious masala dosa and ultimate paneer biryani..ended wd tasty tea treat👍 …",Service Quality,0.4066666666666667,32,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"very bad quality food, never expected this from a2b. they mixed water in kichidi and it’s with lumps , not cooked well. this is in coimbatore gandhipuram branch.",A2B,2026-04-16,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"very bad quality food, never expected this from a2b. they mixed water in kichidi and it’s with lumps , not cooked well. this is in coimbatore gandhipuram branch.",Slow Service & Staff Negligence,0.3366666666666667,2,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"it is one of the best sweet shops ,and also a restaurant in coimbatore. the service is good ,but self service, the snacks ,and sweet s are of excellent quality . they are one of restaurant in coimbatore, where customer satisfaction is of …",A2B,2026-04-24,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"it is one of the best sweet shops ,and also a restaurant in coimbatore. the service is good ,but self service, the snacks ,and sweet s are of excellent quality . they are one of restaurant in coimbatore, where customer satisfaction is of …",Food Quantity & Value for Money,0.61,32,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,especially chilli idly very crunchy and tasty mind-blowing taste and kothu parotta many vegetables add to this recipe marvelous taste,A2B,2026-04-23,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,especially chilli idly very crunchy and tasty mind-blowing taste and kothu parotta many vegetables add to this recipe marvelous taste,Slow Service & Staff Negligence,0.2566666666666667,36,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"nice taste. bit costly. we have tried idli, poori, pongal and vada. especially i liked pongal so much. pongal was really so soft and tasted like halwa. poori and masal were superb. they have enough seating space to accommodate more people …",A2B,2026-05-03,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"nice taste. bit costly. we have tried idli, poori, pongal and vada. especially i liked pongal so much. pongal was really so soft and tasted like halwa. poori and masal were superb. they have enough seating space to accommodate more people …",Ambience & Seating,0.42,41,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"a2b is always my life saver no matter where i am. either chennai or coimbatore, it is always my go to place to eat. while compared to other restaurants in coimbatore, a2b hold best in quality service, food and also somewhat moderate price.",A2B,2026-04-16,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"a2b is always my life saver no matter where i am. either chennai or coimbatore, it is always my go to place to eat. while compared to other restaurants in coimbatore, a2b hold best in quality service, food and also somewhat moderate price.",Poor Experience & Food Hygiene Complaints,0.2833333333333333,2,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"the place has an excellent selection of pure vegetarian dishes. it is really tasty. also they have some north indian specialities like pani puri, pav bhaji etc. tried the pani puri and ghee roast. both were good. especially the dosa and the …",A2B,2026-01-11,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"the place has an excellent selection of pure vegetarian dishes. it is really tasty. also they have some north indian specialities like pani puri, pav bhaji etc. tried the pani puri and ghee roast. both were good. especially the dosa and the …",Food Quantity & Value for Money,0.44,20,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,i didn't expect this service it's very worst experience i faced in a2b at coimbatore near gandhipuram branch no waiters are there they can't able to manage the crowd for a sambhar we have waiting for 10 mnts they don't even see the customer to take the order,A2B,2026-06-03,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,i didn't expect this service it's very worst experience i faced in a2b at coimbatore near gandhipuram branch no waiters are there they can't able to manage the crowd for a sambhar we have waiting for 10 mnts they don't even see the customer to take the order,Food Quantity & Value for Money,0.5866666666666667,2,A2B,frustration,heuristic,2,False
Adyar+Ananda+Bhavan+ +A2B,"happened to order their mini tiffin. it was too good. the chutneys were amazing and perfect spice in both chutney and sambar. anyone can try it if you crave idly, pongal or dosai all together at any time. the desert kesari had the right sweetness. it contains masala dosai, soft idly, pongal, 2 chutney, sambar, medu vadai and kesari.",A2B,2026-04-03,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"happened to order their mini tiffin. it was too good. the chutneys were amazing and perfect spice in both chutney and sambar. anyone can try it if you crave idly, pongal or dosai all together at any time. the desert kesari had the right sweetness. it contains masala dosai, soft idly, pongal, 2 chutney, sambar, medu vadai and kesari.",Food Quantity & Value for Money,0.5133333333333333,-1,A2B,delight,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,very nice hotel.located very close to gandhipuram town bus stand.nice food.hygenic preparations.very tasty. …,A2B,2026-04-07,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,very nice hotel.located very close to gandhipuram town bus stand.nice food.hygenic preparations.very tasty. …,Slow Service & Staff Negligence,0.31,26,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"as usual the quality, service of a2b is splendid. the restaurant is located at the prime location in coimbatore and very near to the gandhipuram bus stand so it's pretty easy to locate and reach the destination.",A2B,2025-12-31,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"as usual the quality, service of a2b is splendid. the restaurant is located at the prime location in coimbatore and very near to the gandhipuram bus stand so it's pretty easy to locate and reach the destination.",Food Quantity & Value for Money,0.62,2,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"a2b on the salem–attur highway is a dependable stop for classic south indian vegetarian food, especially if you’re traveling. the dining area is clean and spacious, service is quick, and the menu delivers all the favorites—crisp dosas, soft …",A2B,2026-05-16,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"a2b on the salem–attur highway is a dependable stop for classic south indian vegetarian food, especially if you’re traveling. the dining area is clean and spacious, service is quick, and the menu delivers all the favorites—crisp dosas, soft …",Food Quantity & Value for Money,0.63,2,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"very nice place on the highway. good rest stop for lunch.. the place is pretty big, with a lot of sitting space still crowded all the time. the menu has only veg options, making it vegetarian friendly! particularly enjoyed the south indian …",A2B,2026-01-16,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"very nice place on the highway. good rest stop for lunch.. the place is pretty big, with a lot of sitting space still crowded all the time. the menu has only veg options, making it vegetarian friendly! particularly enjoyed the south indian …",Food Quantity & Value for Money,0.5933333333333334,34,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"as always, the food was tasty and satisfying. the staff were busy yet well organised, ensuring smooth service despite the crowd. ample parking space is available. being located on the national highway, the hotel remains consistently busy and popular with travellers and regular customers alike.",A2B,2026-03-28,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"as always, the food was tasty and satisfying. the staff were busy yet well organised, ensuring smooth service despite the crowd. ample parking space is available. being located on the national highway, the hotel remains consistently busy and popular with travellers and regular customers alike.",Food Quantity & Value for Money,0.3433333333333333,48,A2B,neutral,heuristic,0,False
Adyar+Ananda+Bhavan+ +A2B,"as usual, just as any other a2b - no complaints. difficult to enter this place unless we intend to, since it is in the service road. need not park the car right in front of a2b since it is crowded so park near junior kuppana in the morning hours especially.",A2B,2026-01-29,Analysis\data\raw_reviews_new\Google\a2b_reviews_tamilnadu_Google_Reviews_with_dates.csv,"as usual, just as any other a2b - no complaints. difficult to enter this place unless we intend to, since it is in the service road. need not park the car right in front of a2b since it is crowded so park near junior kuppana in the morning hours especially.",Food Quantity & Value for Money,0.5366666666666666,2,A2B,neutral,heuristic,0,False
