Branch,Reviews,Restaurant
Geetham Veg Restaurant,"Good restaurant but little pricy. May be due to the location. We tried Garlic Podi Dosa, Pongal and mini idly. Garlic podi Dosa is awesome and Pongal tastes really good.",Geetham
Geetham Veg Restaurant,"The Q Token system was good. We got place within 10mins. Foods alright, couldnt eat much as it felt heavy after the soup. Staff are attentive and even in rush hour, they make sure all r served well",Geetham
Geetham Veg Restaurant,There’s a certain comfort in the familiar. 🍃 From the golden crisp of my forever favorite ghee dosa to the simple warmth of phulkas with paneer corn masala. Ending it with a fresh carrot juice—sometimes the simplest things are the most beautiful. …,Geetham
Geetham Veg Restaurant,"Malai Methi Mutter had milk with mutter. Lol...
No jain food available..served with onion despite conveying two times. …",Geetham
Geetham Veg Restaurant,Popular place for veg food. Lot's of choice. Quick service. Thali only for lunchtime. Dosa with too much ghee (ask without). Hravy not that tasty. Prices very low,Geetham
Geetham Veg Restaurant,"Visited on a weekday for lunch and the place was quite packed. However, we got a table quickly. …",Geetham
Geetham Veg Restaurant,"Am a regular at Geetham restaurantsas they have maintained the simplicity and taste of everyday food across all their branches.
However, this particular branch has seen a decline in service standard over the …",Geetham
Geetham Veg Restaurant,"⭐⭐⭐⭐☆ (4/5)

I recently visited Getham Veg Restaurant in Pallavaram and had a pleasant dining …",Geetham
Geetham Veg Restaurant,"Geetham Veg Restaurant is a pure vegetarian restaurant located very close to Chennai Airport.
This restaurant has very good food options of South Indian, North Indian as well …",Geetham
Geetham Veg Restaurant,Came here for breakfast and ordered the idli and dosa. Vaadai is included with the idli and dosa set.  The chutneys and sambar are delicious. The staffs are courteous and honest. We had to wait for 10 minutes for the waiters to find a table …,Geetham
Geetham Veg Restaurant,"A great spot for a South Indian breakfast, especially since it’s conveniently located close to the airport. The place is huge, making it perfect for a relaxed morning meal without feeling cramped. The ambience is pleasant and comfortable, …",Geetham
Geetham Veg Restaurant,Great place to try vegetarian dishes. Tandoori platter is a must try if you are large family. Their side dish tawa mushroom is average.,Geetham
Geetham Veg Restaurant,"Visited Geetham Veg Restaurant on 14th May with my family for a quick lunch. Usually I visit with clients, but this visit was disappointing due to the attitude and service behavior of one staff member named Suraj (Order Taker / Station …",Geetham
Geetham Veg Restaurant,"Great place to have food with family. Fast and efficient service. Lots of food options - there's something for everyone. Must try for all those who want something fresh, fast, and filling. Cuisine - South Indian, North Indian, Indo-Chinese, desserts amd savouries. Quite close to the airport.",Geetham
Geetham Veg Restaurant,"This is one of the worst restaurants we have visited. The overall experience was very unpleasant. The taste of the food was not good, and the quality did not meet expectations. …",Geetham
Geetham Veg Restaurant,"The food was simply outstanding — every dish was prepared to perfection, bursting with authentic flavors and presented beautifully. The quality and freshness of the ingredients truly reflected the chef’s attention to detail and passion for …",Geetham
Geetham Veg Restaurant,Visited this place for lunch with family. Tried their North Indian Thali and taste is good. Even though Side dish offered was less but when asked they did refill. Food taste was Good and great service.,Geetham
Geetham Veg Restaurant,"Jam packed at 7pm on a Friday evening!
Met an old time friend after ages. Couldn't have been a better place to meet.
He suggested ghee roast dosa, and yes it was the right choice. …",Geetham
Geetham Veg Restaurant,"Found a gem near Chennai Airport
South Indian + Chinese, and both are 🔥
Food quality is good must visit …",Geetham
Geetham Veg Restaurant,"Quality of food is tooo good. You have to get token first to eat here. Too much crowded, ofcourse if taste is good crowd will there. staff are very active.",Geetham
Geetham Veg Restaurant,"Wish to notice to the management of Geetham to maintain certain hygienic conditions, even though the food is served in banana leaf , you must ensure the bottom plate is cleaned well ! Or use them as well disposable! I have to stop my eating …",Geetham
Geetham Veg Restaurant,"A wonderful place to dine. Very busy and crowded. Quite tasty food, though across all Geetam taste is consistent. Service is quick and courteous. We went to receive family member from Airport and came here for dinner just across the Airport. Though it was late evening the staff were fresh and welcoming the guests.",Geetham
Geetham Veg Restaurant,"Early morning perfection! Had mini tiffin at Geetham Restaurant, opposite Chennai Airport, around 6 AM and it was excellent. Fresh, hot, authentic South Indian taste with quick service. …",Geetham
Geetham Veg Restaurant,"Best place to have food....Near to the Chennai Airport.

Affordable rates …",Geetham
Geetham Veg Restaurant,"Definitely one stop after/before flight.

Decent price. Good quality of food with many different varieties. Got car parking as well. Less waiting time they understand the urgency of flight ✈️🛫. …",Geetham
Geetham Veg Restaurant,"Very poor service. We had to wait outside for more than 30 minutes before getting a table. Even after being seated, it took a long time for someone to take our order. Whenever we asked for anything additional, we had to wait another 15 …",Geetham
Geetham Veg Restaurant,"We dropped by Geetham late at night and ended up on a full on dessert binge and honestly, everything we tried was so good! We started off with Cold boosted with ice cream it was thick, creamy and packed with bold boost flavor. …",Geetham
Geetham Veg Restaurant,"One of the best veg restaurants in India... Once become a popular they don't focus the taste and service. But, geetham is the best example of their standard.
I will always recommend gheetham.",Geetham
Geetham Veg Restaurant,Amazing traditional Indian food. Everything here is delicious and a must try especially their array of chutneys. Service can be slow due to the crazy crowds and the noise level is off the charts. Still it's highly recommended.,Geetham
Geetham Veg Restaurant,"Food options for Jain or no onion no garlic is very very less, & what ever they have is very poor in taste or sweet. Kindly hire some good chef from northwest for better options & services. Name is so famous in veg but poor in jain option …",Geetham
Geetham Veg Restaurant,"I recently visited Geetham Hotel and had a wonderful experience, thanks to one of the staff members, Binod. He was extremely kind, polite, and genuinely caring in the way he interacted with us. …",Geetham
Geetham Veg Restaurant,"Food was awesome.
But Service was poor and i felt the staffs and Table services have been poorly trained of how to talk and behave like a Highly regarded Restaurant, since its …",Geetham
Geetham Veg Restaurant,"Went there for lunch and it was pretty bad. Admitted that it was peak afternoon and a bit crowded but that's not excuse for the average quality of food and lack of cleanliness. The basundhi was watery, same with the lassi.more like …",Geetham
Geetham Veg Restaurant,"This is one of the best veg restaurants in Chennai these days. Gone are the days of A2B, Sarvana Bhavan etc. I was there today with my family and we really had a great experience. The food was delicious and the service too.",Geetham
Geetham Veg Restaurant,"Food was good initially but in recent times, the taste has considerably dropped. Quality of food is good but too much of oil. Hence, definitely not healthy. Service has been quite poor from the start. A lot of chaos, conflict and fight …",Geetham
Geetham Veg Restaurant,Perfect veg food place .  Fresh food .  Ordered mysore bonda and onion bhaji with tea .,Geetham
Geetham Veg Restaurant,"Today, 15th February 2026, we visited Geetham Restaurant located on GST Road near Grand Galada for lunch. …",Geetham
Geetham Veg Restaurant,"All Geetham regulars, pls avoid a great disappointment with this specific outlet. I guess its made for people on the go not for a regular who relishes. …",Geetham
Geetham Veg Restaurant,"I have been coming to this particular geetham a lot with family, alone and with friends. I have always had a problem of the waiting staff not taking my orders or asking if i need anything else or even help me with menu. But Mr. Sikandhers …",Geetham
Geetham Veg Restaurant,"We had ordered North Indian thali and South Indian thali.It was not tasty at all. I never expected this type of food.No taste at all, Except the brand name.
Panner tikka was minimal in taste..
It was a waste of money and worthless.",Geetham
Geetham Veg Restaurant,"Went yesterday evening with my brothers' family from hyderabad who came to admit their son in srm university.   The place was very
noisy.  We went around 6.15 pm.  We asked if soup items and starters are …",Geetham
Geetham Veg Restaurant,"Came here many times while visiting family in India. Though crowded, there was always virtually no wait to go inside. Tried many foods here and always liked everything I tried. Personal favorites include the ghee roast dosa. Appetizers were …",Geetham
Geetham Veg Restaurant,"Always crowded but managed well.

Coming to the food quality, I feel the service has degraded substantially and …",Geetham
Geetham Veg Restaurant,"🌟 Vegetarian Delight at Geetham! 🌟
Geetam is a great spot for vegetarian food lovers! The menu offers a wide range of delicacies from South Indian, North Indian, and Chinese cuisines, along with …",Geetham
Geetham Veg Restaurant,"Yesterday, We had meals at Geetham Veg, Pallavaram. While eating, I found a hard stone-like object in the food (photo attached). When I informed the staff, the response was disappointing and lacked concern for customer safety. …",Geetham
Geetham Veg Restaurant,yesterday i visited and taken parcel of idiappam thengai pal ( coconut milk) (Rs.173.00 is debited from your account ending 0854 towards VPA q135599817@ybl (Geetham Billing Counter) on 03-06-26.UPI transaction reference no.: 124149121945) . …,Geetham
Geetham Veg Restaurant,"We waited for nearly half an hour for our family dinner. Unfortunately, the food quality was disappointing. The Palak Paneer was not up to the mark, the Mint Lemon tasted like plain water, and the Badam Milk was the worst we have had, with …",Geetham
Geetham Veg Restaurant,"We had breakfast at the hotel, and the food was delicious. We tried the ghee roast masala dosa, which turned out to be excellent. The filter coffee was superb and truly stood out. …",Geetham
Geetham Veg Restaurant,"Great place for delicious vegetarian food with a calm, pleasant atmosphere. Sweets and savories are worth trying, and parking is available too. …",Geetham
Geetham Veg Restaurant,Geetham was very highly recommended vegetarian restaurant in Chennai.We ordered 2 tamilnadu meals and north Indian thali.Both meals were good but the price was very higher for the quantity given.They had six branches in Chennai.The ambience and service was very great.Must visit this place for a good food.,Geetham
Geetham Veg Restaurant,"This is one of the best vegetarian restaurants around Chennai. The price is similar to other popular brands and the taste was equally great. The honey chilli potato was fantastic, they didn't use the fries, instead they used freshly chopped potatoes. The service could have been better.",Geetham
Geetham Veg Restaurant,Vegetarian chain of restaurant in the ground floor of PVR Grand mall. Restaurant is opened till 2 AM in the night. Crowded in the late night and weekends especially with minimum waiting time of 30 minutes. Ambiance and taste of food are ok. Wheelchair accessible entrance and toilets are available.,Geetham
Geetham Veg Restaurant,"Bad experience at Geetham, opp. airport

On 26/04/26 morning myself and my wife went to Geetham restaurant, opp Airport …",Geetham
Geetham Veg Restaurant,"Hello
I'm a regular visitor for breakfast (while in Chennai) at Geetham - Urapakkam branch - No complaints, Satisfactory service, quality of food good. …",Geetham
Geetham Veg Restaurant,Yesterday night at 9pm we went to have dinner but very bad experience faced in pani puri there was a flies when asked the waiter without taking seriously his reply was the flie is sick that the reason it couldn't able to fly. …,Geetham
Geetham Veg Restaurant,"I visited Geetham restaurant (opposite the Airport Metro) today around 12:30 PM, and I am extremely disappointed with the service. A senior staff member in a yellow dress demonstrated a complete lack of professional etiquette. When I asked …",Geetham
Geetham Veg Restaurant,"Great food and good service. Valet car parking is available. Dessert varieties are available. Open till 2 AM now. South Indian North Indian ,shakes, Chinese Chats sweets N savories.",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Very good ambiance. Premium pricing as in all their branches. Very courteous polite & prompt service.  Well groomed neatly dressed staff.  Some of the items were not up to the standards of Geetham.  Mentioned in the photos individually. ( Please see if interested ) Plenty of car parking & disabled friendly restaurant.,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Tasty dosa and ice creams. Triple fried rice was ok. Service was good and staff were friendly. Ample parking spot.,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Newly opened Geetham on ECR at Vettuvankeni is definitely worth a visit! We went there for a Sunday lunch, and since the crowd was moderate, there was no waiting time. …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had an amazing dining experience today. The food was excellent, especially the Hyderabadi veggie biryani, which was packed with flavor. I wrapped up the meal with a truly unique and delicious rasmalai kunafa. highly recommend trying it! …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Good location on ECR with good catchment area, good parking, still new restaurant in 2026. …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had a wonderful experience with the service provided by Silambarasi. She was very fast, attentive, and truly understood our needs perfectly. Her hospitality and professionalism made our stay even better. She is definitely a great asset to the hotel. Highly appreciated!",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Captain Lalitha has...very stupendous, sweet, polite,great hospitality... behaviour! Keep her business!",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Food was obviously food like other geethams , it's newly opened with very good parking space . Big menu and very good sambar .
. Service quality needs to be improved, i had long wait and reaching staff was difficult. Overall good food .",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had a nice lunch at Geetham. It is a new outlet from their brand and the second one on the ECR. Located before A2B, if you’re coming towards Thiruvanmiyur.
Nice atmosphere and the service was good. …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Very worst service in awaiting more than 1h, my order also not given properly I ask spicy but rec'd different.  Very very disappoint and worst experience here after not visiting this restaurant 😡😡 …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","The ambience was really good. Menu was top-notch. Food was tasty. We had quick lunch, meals, and paneer fried rice. We absolutely loved the paneer kebab. The meals was unlimited, which was really useful and fulfilling. Sambar rice in the quick lunch was tasted delicious. A big parking lot next to the hotel is an added advantage.",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Nice food and good taste. Very good service by gunasekaran and Saraswathi... Highly recommended...,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Worst Service we went with our family members of 5 peoples and while going to the table itself the manger directed to one table and while we are attempting to go to the table already it was equipped and people where consuming the food, and …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Service was really good and food too
Silambarasi did a great job.
She made us all comfortable and happy",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",We came for the pre order Tamil new year meal .in 11 o clock slot the food was good,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","CAPTAIN LALITHA
I had a wonderful experience at geetham today. The food and the service was excellent. I look forward to come here soon!
Would definitely recommend to my family and friends",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",This what you get if you order ghee masala dosa from Geetham injambakkam!! Paid 235 rs for this dosa. People come to you for your quality please don’t cheat them. If you charge high..your quality should also be the same! Beware people!,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Good good choices, good ambience and good taste too. silambarasi gave very good service. She was very professional and courteous 👏👏 …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain Lalitha 's service was very good. Food taste was pretty good,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Quality of food degraded over the years. Traditional tamilnadu meals quality is no more available in this resturant. High content of oil in every dish makes it unhealthy to eat at this place. Resturant management should concentrate of food quality. Service and Atmosphere is decent and fast.,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had lunch here recently and the food was truly the highlight—everything we ordered was delicious and well-prepared. However, the service left a bit to be desired. While the staff were friendly, we found ourselves waiting quite a while for …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had a good dining experience at Geetham Veg Restaurant. We ordered mushroom soup, paneer butter masala, garlic naan, and malai paneer, and everything tasted really good. The flavors were well balanced, and the dishes were fresh and …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","This place is an absolute flavor fiesta! 🥳 Every bite was a delightful dance on my taste buds. The food was so good, I almost hugged the chef! Seriously, it was beyond tasty and utterly delicious. 😋 A total winner! 🎉🍽️ …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Service very good captain Arul Jothi waiter raju good service,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Silambarasi served us extremely well and was very happy with the service. Food was excellent too. All the best,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Very worst restaurant , it's a very bed experience .
I ordered one set poori for that they take 2 hrs to deliver.
Please don't go to this restaurant. Worst ever",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Food was average not as good as T Nagar and Ashok Nagar. Service was not that great. They took forever to clear the table. People who take orders are not proactive. We waited for almost 20 minutes for someone to attend to us for followup …,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","We dined at Geetham Veg Restaurant with family and had a great time. The food was delicious and served fresh. Mr. Balamurugan, Mr. Marimuthu Capt, and Manager Praveen took such good care of us with their amazing service and smiles. We’ll be back again!",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Loved the food there. Idlis were soft and the sambar was tasty. Masala dosa was good too. Paneer manchurian was very good. Best starter. Excellent service by Silambarasi and Mr. Gunasekaran. This branch of Geetham is very well maintained.,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Lalitha
Food and the service is perfect
Very good customer care",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Nice ambience , clean restrooms , lovely food.. i love how they maintain their standards with consistency with respect to food.. loved their pista rose kunafa totally.. everything was delivered without delay, nice service.. overall a great experience!  ♥️💐 …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Food quality because less compared with other branch
Silambrasi service was good",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain lalitha superb service and good food supplies good caring customers,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Captain Lalitha , nice service good care, superb food",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain Lalitha and waiter promod was very good at serving us. We orders dosa and it was dark she replaced it for us TQ geetham ❤️,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had coffee and kesari today, which are always my Geetham favorites. But I was totally disappointed with the coffee. First, they brought it very light (almost no decoction, just more milk), and the next time, it had floating coffee dust …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain - lalitha - she was too good and service was good and meals was also nice. Had a great lunch,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",I will give 5 star for food and ambiance but for service my rating will go to negative. I have not posted any comments for restaurant till now but after my experience in Geetham I want to post a comment. They don’t have proper crowd …,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Poor service. The guy at billing doesn’t have a clue in what is available
I have come to get parcel and I am waiting for 30 mins, meantime so many Swiggy person have collected and left. Such is the status of customers. I should avoid coming here again. Very bad. 30 mins and no food yet",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Ms.silambarasi service was so good and treated me so kindly as my relation,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Beat accompany to serve ever…. All the best good goin Lalitha,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Food taste not good, Ordered panner platter not cooked properly, Dosa was salty... Service I don't have option to give negative it's very very worst",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","⭐⭐⭐⭐⭐

Outstanding service by Gunasekar! His professionalism, attention to detail, and …",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Captain Lalitha done good service for us at right time,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Food and service was very nice.Silambarasi who served us food was Calm and patience.Worth the penny.,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Food tastes good. Very poor service.
Too many staff are standing but no one is responding",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Service by ms silamparasi was excellent..food was very tasty, it would have been nice if they served tiffin items during lunch time also..AC needs to be better",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR",Good food. 10/10 for a family weekday dinner. Special mention to Mr Gunasekhar.,Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Service was good and taste was really nice.
Lalitha from vettuvakanni branch she was really good.",Geetham
"Geetham Veg Restaurant   Vettuvankeni, ECR","Good ambience. Good food.
Extremely slow service spoils the experience",Geetham
Geetham Veg Restaurant   Koyambedu,Be ready to wait for a table on the weekends. Be patient for the waiter to attend to you. Be calm until the order is served to you leisurely after placing the order. …,Geetham
Geetham Veg Restaurant   Koyambedu,Wonderful ambiance and good taste Captain Mr.Vasanth Kumar and Service Mr.Rajan Kumar excellent in service..,Geetham
Geetham Veg Restaurant   Koyambedu,Newly opened restaurant. Excellent service and the food is absolutely delicious. Will definitely visit again.,Geetham
Geetham Veg Restaurant   Koyambedu,"Went to Geetham Restaurant for breakfast. The place was clean and calm, prices were reasonable and portions were good. Service was also quick without much waiting. Would definitely visit again for lunch/dinner when I am around Koyembedu.",Geetham
Geetham Veg Restaurant   Koyambedu,"We are extremely happy with the quality of food, courteous services by the staff and the overall arrangement.
Very well located, ample space for sitting and also car park",Geetham
Geetham Veg Restaurant   Koyambedu,Food taste was horrible. Service was too bad. Not responding properly. Very rude behaviour with customer. I will give 0 star if available. Don't go there. We went with family but it was bad experience,Geetham
Geetham Veg Restaurant   Koyambedu,"Review: A Reliable Choice for South Indian Flavors at Koyambedu
Rating: ⭐⭐⭐⭐ (4/5) …",Geetham
Geetham Veg Restaurant   Koyambedu,"New Geetham branch in the area. Big property with parking facility and bang opposite to the koyembedu bus stand. I was attended to by Mr. Rajan, who was kind enough to suggest the chettinad mini tiffin. The taste and variety in the plate …",Geetham
Geetham Veg Restaurant   Koyambedu,"Good food not a great ambience.Looks like the work is unfinished....will check out again.
Though the parota ordered was tasty...it was definitely not prepared hot, it was …",Geetham
Geetham Veg Restaurant   Koyambedu,"We ordered gonguva Idly
And poori and I forgot that name. But it’s tooo good , and most tastefull. We must try as a vegetarians. In opposite of Koyambedu bus station.",Geetham
