cluster,restaurant,branch,review_text,rating,distance_to_centroid
2,Namma Veedu Vasanta Bhavan,Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,the restaurant is very much near to the egmore railway station. just opposite to station. provides optimum range of varities and good for south-indian.,,0.049180053
2,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan,rathi good service best restaurant for nearby egmore station,,0.050045516
2,Namma Veedu Vasanta Bhavan,Egmore,"guess, reviewing about the restaurant that as branches spread all over the city is never so interesting. in and around egmore railway station you could find many prominent restaurant brands that is crowded with regular visitors and travelers all the time. and there is two vasantha bhavan, the old one and the new namma veedu vb. located just opposite to the egmore local train station is the old vb. we dropped there for a quick breakfast on a sunday. the restaurant was small as most of the space is occupied by their sweet stall and kitchen area. the place is most often crowded and the least you should expect is a pleasant service. as everyone knows the restaurant expertise in south indian... read more",,0.0525967
2,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan,located just opposite to egmore railway station. neat and clean restaurant with plenty of vegetarian menu options. special call out for mr.pushparaj who helped serve food during our visit. we will visit again.,,0.052710515
2,Namma Veedu Vasanta Bhavan,Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,tasty food just located opp to egmore station. had variety of food to order round the clock. service is quick and courteous.,,0.05466864
2,Namma Veedu Vasanta Bhavan,Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"due to its location just opposite the egmore railway station, this eatery is always crowded. very reasonably priced items , snacks , lunch or dinner , with authentic south indian taste. service is prompt and efficient. place needs more modernisation, and better maintenance as far as cleanlines is considered.",,0.055644356
2,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan,yesterday morning i had visited this hotel opp to egmore railway station. food quality is very bad. there is no one to take order. will never visit this hotel in my life.,,0.05751771
2,Saravana Bhavan,Chennai,this is one of the hotels in their group it is situated just opp to egmore railway station. neat and tasty food available of all south indian and north indian varieties. they will accept cash or card and even paytm is ok only negative is lill costlier than budget hotels,,0.06003494
2,Namma Veedu Vasanta Bhavan,Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"bang opposite to egmore railway station.. serves hot and fresh south indian breakfast items like idly, dosa and pongal and tea/coffee. don't try anything adventurous. service is quick and efficient.",,0.06247712
2,Saravana Bhavan,Chennai,"its well renowned eatery near egmore railway station. food tastes good here and the service is quick, gets crowded during lunch hours.",,0.06457803
2,Namma Veedu Vasanta Bhavan,Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"this food place is just oppiste egmore railway station, they serve indian food is cheaper than other same outlets at this area. the staff is clean & polite they top up curry without having to ask for it. & explain menu too.thank you",,0.07408434
2,Namma Veedu Vasanta Bhavan,Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,just opposite to egmore station. good food and worth of money. i found chinese here very good. have been here many times.,,0.07610384
2,Namma Veedu Vasanta Bhavan,Restaurant_Review-g304556-d1109756-Reviews-Vasantha_Bhavan-Chennai_Madras_Chennai_District_Tamil_Nadu.html,"had dinner along with a friend in march during a business trip. the restaurant is located just opposite egmore station. it has a good menu of south indian vegetarian fare which is also reasonably priced. excellent taste and very attentive, courteous and efficient service. highly recommended for vegetarians.",,0.07797635
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"i went to adyar ananda bhavan recently and loved the ambiance. the food was top-notch! i tried their masala dosa, which was delicious, especially when paired with their chutney and sambar. the restaurant was clean, hygienic, and provided a wonderful dining experience for all of us.",,0.016791536
3,A2B,Adyar+Ananda+Bhavan+ +A2B,adyar ananda bhavan is located near avadi check post it has car parking and bike parking facilities and it has mini party hall above the restaurant the food quality and taste are awesome we have tried various item all the items are good but …,,0.029525438
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"visited adyar ananda bhavan (a2b) after a couple of months, and honestly, the experience has slipped compared to earlier visits. the place didn’t feel as clean and tidy as it used to be—flies around and used plates/trolleys left unattended …",,0.03203981
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"i recently visited adyar ananda bhavan for lunch, planning to have meals. due to heavy crowd, the waiting time for fine dining was around 30 minutes, so we decided to sit on the ground floor instead. …",,0.033718035
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"i visited the adyar ananda bhavan outlet in gandhipuram last night.the quantity and quality of the food were reasonably good, but the prices were on the higher side. however, the service style and the staff's demeanor were somewhat …",,0.03937778
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"ananda bhavan hotel in annamalai nagar, trichy, offers a decent dining experience but leaves room for improvement. the service here is commendable; the staff is attentive and courteous, making you feel welcome from the moment you step in. …",,0.03972808
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"i recently visited adyar ananda bhavan (a2b) and had an overall okay experience. the place itself is quite appealing—well-maintained and the ambience is pleasant, making it a comfortable spot to enjoy a meal. the decor and seating …",,0.040793184
3,A2B,Adyar+Ananda+Bhavan+ +A2B,adyar ananda bhavan in coimbatore is an absolute gem for those seeking authentic and delicious south indian cuisine. …,,0.042395692
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"this adyar ananda bhavan situated in nh 45 near vikravandi toll gate before villupram, is a decent restaurant for travellers. the rates are also reasonable for all items.",,0.04338775
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"if you are in trichy and looking for a perfect spot to enjoy authentic south indian vegetarian food with a modern touch, adyar ananda bhavan (a2b) is without doubt one of the best places to visit. the moment you step into the restaurant, …",,0.043811504
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"adyar ananda bhavan is a reliable go-to spot for classic south indian sweets, snacks, and quick meals ( breakfast, lunch, tiffin, dinner ) in the heart of adyar. …",,0.04400163
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"a2b adyar anand bhavan is a great stop for authentic south indian food, whether you’re with family, friends, or dining alone. conveniently located on the coimbatore–bangalore highway, it’s ideal for both quick snacks and a proper meal. the …",,0.04630387
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"hotel adyar ananda bhavan is a well-known vegetarian restaurant chain in india. they have a branch in villupuram, which is conveniently located on the chennai-tiruchy highway. the restaurant has ample parking space for cars and is easily …",,0.048042424
3,A2B,Adyar+Ananda+Bhavan+ +A2B,"a2b - adyar ananda bhavan is my go-to place for sweets and tiffin. the sweets are always fresh, rich in taste, and consistently good, while the tiffin items are hygienic, satisfying, and perfect any time of the day. a reliable spot for classic south indian food and traditional treats!",,0.05036762
3,A2B,Adyar+Ananda+Bhavan+ +A2B,adyar ananda bhavan - a2b nh thoppur vegetarian hotel at national highway …,,0.051588725
4,A2B,Adyar+Ananda+Bhavan+ +A2B,"i recently ordered from a2b and was very happy with the experience. the variety of snacks was really good, and everything was neatly packed and fresh on arrival. the poli and appam were outstanding perfectly made with just the right amount …",,0.04816258
4,A2B,Adyar+Ananda+Bhavan+ +A2B,"visited the newly opened a2b recently. the ambience was amazing, and the food quality was really good, especially the schezwan noodles and coffee, which we enjoyed a lot. …",,0.058373325
4,A2B,T. Nagar,"taste,packaging,vfm can never go wrong when it is a2b.as the place was quite crowded i had to take away them.everything seemed normal regarding the spice",,0.059687793
4,A2B,Adyar+Ananda+Bhavan+ +A2B,"we wanted to choose a good place for a lunch break on the highway and a2b was a unanimous choice for everyone in our car! we got hot and tasty meals with a variety of curries, curd, appalam, payasam and …",,0.059893496
4,A2B,Adyar+Ananda+Bhavan+ +A2B,"as always a2b stands firm with their quality & also its service, cos the welcoming was so warm when we stepped inside early morning for breakfast at 6.30am offcourse it was served hot & with warm gesture …",,0.060779687
4,A2B,Adyar+Ananda+Bhavan+ +A2B,"while the quantity and pricing were upto a2b standards, i’d sadly say that this is the worst i have tasted in my history of visits to any a2b outlet. the gobi manchurian was bland and had too much of kadipatta and mysore masala …",,0.06357728
4,A2B,Potheri,stopped at a2b on the way back to city after a long drive. wanted to have some evening snack and cup of tea. ordered a plate of onion pakodas and tea. i was bit disappointed to notice that the pakodas were a little stale. probably made in the morning. also the service was not good.,,0.07030259
4,A2B,Adyar+Ananda+Bhavan+ +A2B,i am the top eater of a2b. today i had very worst exp at this outlet. idly was like cricket ball. poori was like rubber. sambar was lunch sambar. got stomach pain. worst quality. i think it may a duplicate a2b.,,0.07741901
4,A2B,Mylapore,"the thing that pops out when a2b is visited is dahi chats. they have reduced their quantity in the recent months, but taste is really good.(though slightly deviating from the norms sometimes). hardly 25-30 people can be seated at a time. my favourites are chilli parotta, chilly baby corn, dahi based chats.",,0.0822737
4,A2B,Mylapore,for lunch we came here. it is a small place when compared to other a2b. the cleaning cloth used by the cleaning guy was stinking and i had to go to another table after he cleaned the table. we ordered... curry leaf rice -> good mini meals -> not worth the price. chapati was very dry and brittle. dahi puri -> not that great.,,0.08238871
4,A2B,Adyar+Ananda+Bhavan+ +A2B,a conveniently located joint for both passengers and general public. the food was classical like any other a2b joint. them operating only limited seats at the ground floor at peak morning hours despite having a first floor dining was something questionable.,,0.08486024
4,A2B,Adyar+Ananda+Bhavan+ +A2B,"the taste was poor. even the local road side shop taste is better than this a2b. it's just the brand but the taste is just zero. the place was heavily crowded though, just bec of the brand value and there is not hotels nearby. but no one …",,0.085211694
4,A2B,Adyar+Ananda+Bhavan+ +A2B,"we stopped at a2b for lunch mainly because the ambience looked very nice and we trust the a2b brand. however, our experience was disappointing. …",,0.08659938
4,A2B,Adyar+Ananda+Bhavan+ +A2B,"a pleasant spot for a coffee i recently visited a2b and had a coffee, which was truly delicious. the taste was rich and satisfying, definitely one of the highlights of my visit. …",,0.08776943
4,A2B,Adyar+Ananda+Bhavan+ +A2B,"the food at a2b is tasty and reliable as always. one concern is the seating arrangement—the distance between the table and chair is too narrow, making it difficult to sit and eat comfortably.",,0.08875161
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan,"over the last five years, we've been visiting vasantha bhavan, and each time has been a great experience. yesterday, we ordered the veg chukka, and it was absolutely fantastic! the food was delicious, and the customer service, especially from mr. dinakaran, was excellent. the quality and taste of the food were top-notch.",,0.04317604
5,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai","had a wonderful experience at vasantha bhavan. the food was absolutely awesome – fresh, tasty, and perfectly served. a special mention to mr. dhana for the excellent service. he was very polite, attentive, and made sure we were comfortable throughout. really happy with the overall experience. highly recommended! 😊 …",,0.045044076
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan - Hosur,"i recently visited hotel vasanta bhavan and had a wonderful experience. the food was absolutely delicious, especially the crispy dosa and flavorful sambar. every dish tasted fresh and authentic, just like homemade south indian food. …",,0.048212033
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan - Hosur,"had a wonderful breakfast experience at vasantha bhavan. the food was truly authentic, comforting, and tasted just like a wholesome home-style south indian meal. …",,0.051280946
5,Namma Veedu Vasanta Bhavan,VB World by Namma Veedu Vasanta Bhavan,"had a wonderful experience at vasantha bhavan veg. the food was fresh, delicious, and served hot. the taste was authentic, and the quality was excellent. a special thanks to deepa for her friendly attitude and excellent service. she handled …",,0.05128707
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan,"i had a wonderful experience at vasantha bhavan. the food was delicious, fresh, and served on time, making the whole dining experience very satisfying. …",,0.06015173
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan - Hosur,"visited vasantha bhavan recently and had a really pleasant experience. the food was fresh, tasty, and served hot — classic south indian flavours done right. dosa, idli, and coffee were all spot on. …",,0.062871106
5,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai","really this place is awesome , such a lovely and tasty food , specially ambience is outstanding, completely changed my view of vasanth bhavan , quick service must try , even though weekend crowd , well managed , surely visit again , see you guys 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 …",,0.06464915
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan,"every time i come to phoenix for seeing cinema, i invariably visit vasanta bhavan. yesterday on 6 november 2025, i came to phoenix with my wife for seeing the movie kanthara that started at 2 pm. we arrived at phoenix at around 1.15 pm. we …",,0.06884726
5,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai","improvised version of normal vasantha bhavan. quick service. good ambience and seating.valet parking available. kids friendly place. has wide range of cuisines starting with south indian, …",,0.07079078
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan,"vasanta bhavan is an all vegetarian south indian food restaurant at phoenix mall at the heart of city. located at second floor, this place is one of the prominent visiting and dining place. their snacks and food is indeed good. they serve …",,0.074853286
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan,staying at ginger vadapalani vasantha bhavan was our eat stop for 3 days. we had nice experience here 3-4 times we visited for both breakfast and dinner. the price were reasonable and the quality/quantity/taste were up to the mark. they …,,0.0768992
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan - Hosur,"excellent breakfast and wonderful service had our breakfast today at vasantha bhavan – hosur branch, and the experience …",,0.07723969
5,Namma Veedu Vasanta Bhavan,Namma Veedu Vasanta Bhavan,"i visited namma veetu vasanta bhavan yesterday for lunch and found the food to be good, although it didn't reach the level of being exceptional. the restaurant's environment and ambiance were pleasant, contributing to a comfortable dining …",,0.07928716
5,Sangeetha,Poonamallee,"i want to highlight the exceptional service of vasanth raj, who truly transformed our experience today. when we arrived, we were waiting for a table, and the section nearby was completely empty. after i approached him, he immediately took …",,0.08041843
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Saligramam %28Vadapalani%29, Chennai",ekra ahmed - good service by him in vb world. polite and humble person. vb world ambience is outstanding! the og veg restaurant in saligramam. the most awaited one!!!,,0.008576235
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Saligramam %28Vadapalani%29, Chennai",today i happen to visit vb world saligramam for breakfast. its a new and big place. atmosphere is premium 👌 has upmarket upholstery. ample parking and good service. plenty of food varieties both south and north indian. hope they maintain the shine and pristine condition for long time. …,,0.0137220295
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai","dhana and nirupati were very courteous in serving us dinner. recommend this place for food, ambience and service. i also have breakfast almost daily. mugila is very courteous and helpful. overall experience with vb world is awesome. food, ambience and staff",,0.023754584
6,Namma Veedu Vasanta Bhavan,Vasantha Bhavan - V B World,i always give 5 star for vb world in both anna nagar and sharaf dg as i like to visit for the favourite signature dish truffle mushroom dim sum and the nice service by the captain and managers. but this time i got to give 3 star for service …,,0.025356483
6,Namma Veedu Vasanta Bhavan,VB World by Namma Veedu Vasanta Bhavan,"vb world is a great place if you're looking to enjoy authentic south indian cuisine. the ambience was impressive — warm, inviting, and beautifully designed interiors that set the mood just right. …",,0.026028203
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai","newly opened vb world at velachery next to gurunanak college. good parking space and valet parking service is good. they have a cafe at the entrance for quick chit chat coffee, snacks and pastry. variety of cakes for small gathering. and …",,0.027016435
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Saligramam %28Vadapalani%29, Chennai","we recently visited vb world vija, which has just opened and is being promoted as a destination for global cuisine alongside indian favorites. naturally, we went in with high expectations, especially given the hype around its concept and …",,0.036347087
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai","we had an amazing experience at vb world velachery. the food was absolutely fantastic. the best part is the multi cuisine menu. every person in my family prefers different cuisine when eating out. we order north indian, south indian, …",,0.04117309
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai",⭐ vb world – a detailed review we visited vb world last saturday evening. as expected during weekends and the …,,0.05305782
6,Namma Veedu Vasanta Bhavan,Vasantha Bhavan - V B World,had a great experience at vb world and special thanks to vindhiya for the service.,,0.058819827
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Saligramam %28Vadapalani%29, Chennai","we chose vb house vadapalani for our event, and it was a fantastic decision. we were particularly impressed by the new, scenic party hall and the exceptional service provided by the management team. …",,0.061577972
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai","""had an absolutely incredible dining experience at vb world! it is hands down one of the best restaurants i’ve visited. the food was simply awesome—every dish was packed with flavor and cooked to perfection. what really made the experience …",,0.063349545
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai","vb world in velachery is a casual restaurant with a lively, welcoming atmosphere that sets it apart from your usual dine-in spot. the menu blends familiar comfort dishes with creative twists, and portions are generous without feeling heavy. …",,0.06562911
6,Namma Veedu Vasanta Bhavan,"VB World By Namma Veedu Vasanta Bhavan - Velachery, Chennai","there are already thousands of reviews about vb world, so let me cover the least talked-about part. this restaurant mainly focuses on north indian, chinese, and western cuisines …",,0.06796614
6,Namma Veedu Vasanta Bhavan,VB World by Namma Veedu Vasanta Bhavan,"vb world offers a wide range of menu varieties - north indian, south indian, chinese, european, etc. good ambience. family friendly. valet parking available. …",,0.06907149
7,Geetham,Geetham Veg Restaurant,"visited geetham veg restaurant on 14th may with my family for a quick lunch. usually i visit with clients, but this visit was disappointing due to the attitude and service behavior of one staff member named suraj (order taker / station …",,0.03447363
7,Geetham,Geetham Veg Restaurant,"wish to notice to the management of geetham to maintain certain hygienic conditions, even though the food is served in banana leaf , you must ensure the bottom plate is cleaned well ! or use them as well disposable! i have to stop my eating …",,0.04492434
7,Geetham,Geetham Veg Restaurant,"geetham food maintains good standards when it comes to food quality, holding its own among similar vegetarian restaurant chains. …",,0.05675134
7,Geetham,Geetham Veg Restaurant,"am a regular at geetham restaurantsas they have maintained the simplicity and taste of everyday food across all their branches. however, this particular branch has seen a decline in service standard over the …",,0.06214802
7,Geetham,Geetham Veg Restaurant,"today, 15th february 2026, we visited geetham restaurant located on gst road near grand galada for lunch. …",,0.06301147
7,Geetham,Geetham Veg Restaurant Mount Road,"we had visited geetham mount road this evening and here is my review. our thanks to admin manager ebenezer who guided us politely from the parking, mahalakshmi am for seating arrangements, captain arjun and waiter anuj for their wonderful …",,0.06753608
7,Geetham,T. Nagar,thumb-up-fill positive fresh food good quality elaborate menu customizable food family crowd my favorite place just got upgraded! not with just their name but also the quality and variety of food. visited geetham last sunday morning with friends and had the best south indian breakfast in a long time.,,0.06840398
7,Geetham,Geetham Veg Restaurant   Koyambedu,"""we had a wonderful dining experience at geetham restaurant during our chennai trip. the ambiance was lovely, and the food was delicious. the service from renuka and abhija was exceptional - very professional and attentive. we thoroughly enjoyed our meal and look forward to visiting again soon!"" 😊 …",,0.069511786
7,Geetham,Geetham Veg Restaurant   Koyambedu,"new geetham branch in the area. big property with parking facility and bang opposite to the koyembedu bus stand. i was attended to by mr. rajan, who was kind enough to suggest the chettinad mini tiffin. the taste and variety in the plate …",,0.07410617
7,Geetham,"Geetham Veg Restaurant   Vettuvankeni, ECR","newly opened geetham on ecr at vettuvankeni is definitely worth a visit! we went there for a sunday lunch, and since the crowd was moderate, there was no waiting time. …",,0.07707319
7,Geetham,Geetham Veg Restaurant,do not give any order online at geetham restaurant. they said they will deliver themselves. just ordered a sandwich and a coffee at 432pm and the delivery not done until 615pm. the restaurant was just 15mnts walking distance from the …,,0.079010025
7,Geetham,Geetham Veg Restaurant Mount Road,"today, around 10 members of our family visited the mount road branch of geetham for lunch. …",,0.08213635
7,Geetham,"Geetham Veg Restaurant   Vettuvankeni, ECR","we dined at geetham veg restaurant with family and had a great time. the food was delicious and served fresh. mr. balamurugan, mr. marimuthu capt, and manager praveen took such good care of us with their amazing service and smiles. we’ll be back again!",,0.08456608
7,Geetham,Geetham Veg Restaurant,"🌟 vegetarian delight at geetham! 🌟 geetam is a great spot for vegetarian food lovers! the menu offers a wide range of delicacies from south indian, north indian, and chinese cuisines, along with …",,0.085769005
7,Geetham,Geetham Veg Restaurant,"i have been coming to this particular geetham a lot with family, alone and with friends. i have always had a problem of the waiting staff not taking my orders or asking if i need anything else or even help me with menu. but mr. sikandhers …",,0.08627317
8,A2B,Adyar+Ananda+Bhavan+ +A2B,good food and hospitality. price is too much for tea. they are charging 40 rups. even vada price is less than tea.,,0.037202694
8,Sree Annapoorna,Annapoorna Veg Restaurant - Vellore City,we had tea ( karupatti tea) awesome taste i would say. but in the washroom there is no lights have to go with mobile torches...they should maintain well and neat i would say.,,0.06382271
8,Sree Annapoorna,Annapoorna - Saibaba colony,good atmosphere... taste was good but tea was not as ganapathy annapoorna branch ... car parking only a problem. road side parking only..two wheeler parking available,,0.072692096
8,Sree Annapoorna,HOTEL SRI ANNAPOORNA,tea was above average. good place for a cuppa tea and spacious,,0.09321615
8,Geetham,Geetham Veg Restaurant,i came here with family for a quick tea time. the service was good. the staffs were friendly and helpful. the food was also good at a reasonable price. probably they need to focus more on the cleanliness.,,0.11003116
8,Sree Annapoorna,SRI ANNAPOORANA Pure Veg,i order tea but they’re steaming.,,0.12452112
8,A2B,Adyar+Ananda+Bhavan+ +A2B,good a/c tea break option,,0.12500979
8,Namma Veedu Vasanta Bhavan,Vasantha Bhavan - V B World,i ordered tea and it was a spoiled tea was served to the table it was not upto what they are named for worst tea and ruined my experience,,0.12902747
