issue_category,week,review_count,rolling_mean,z_score,rule_flag,iforest_flag,both_flag,outcome_rating_change,issue_category_code,volume,magnitude_z,pct_above_rolling_mean,rule_and_ml_agree,priority_target,predicted_priority_score
Poor Experience & Food Hygiene Complaints,2025-09-29,2,3.1666666666666665,-0.6358383670736644,False,False,False,-0.4692307692307691,6,2,-0.6358383670736644,-0.3684210526315789,0,0.4692307692307691,0.27503806
Staff Courtesy & Behaviour,2026-06-29,8,13.0,-0.38807526285316646,False,False,False,-0.12967032967032965,9,8,-0.38807526285316646,-0.38461538461538464,0,0.12967032967032965,0.27134654
Ambience & Seating,2026-01-26,9,14.166666666666666,-0.661704697991961,False,False,False,-0.365953947368421,0,9,-0.661704697991961,-0.36470588235294116,0,0.365953947368421,0.26919267
Cleanliness & Restroom Hygiene,2025-12-08,7,13.166666666666666,-0.37000740022200745,False,False,False,-0.2923076923076924,2,7,-0.37000740022200745,-0.46835443037974683,0,0.2923076923076924,0.26813704
Staff Courtesy & Behaviour,2026-02-16,4,10.0,-0.7905694150420948,False,False,False,-0.32446808510638303,9,4,-0.7905694150420948,-0.6,0,0.32446808510638303,0.21974505
Staff Courtesy & Behaviour,2026-02-02,7,11.0,-0.528885885347945,False,False,False,0.00694444444444442,9,7,-0.528885885347945,-0.36363636363636365,0,-0.00694444444444442,0.21921988
Food Variety & Fast Service,2025-11-17,26,24.833333333333332,0.10087251224304433,False,False,False,-0.3392492860057119,4,26,0.10087251224304433,0.04697986577181213,0,0.3392492860057119,0.21722488
Billing & Online Ordering Issues,2026-01-12,9,16.166666666666668,-0.4281628412181979,False,False,False,-0.24836601307189543,1,9,-0.4281628412181979,-0.443298969072165,0,0.24836601307189543,0.21585438
Food Variety & Fast Service,2025-11-10,20,22.833333333333332,-0.22968778911235965,False,False,False,-0.4052342760658507,4,20,-0.22968778911235965,-0.12408759124087587,0,0.4052342760658507,0.21271366
Food Variety & Fast Service,2026-07-27,8,17.166666666666668,-0.8549199846470049,False,False,False,-0.21474358974358965,4,8,-0.8549199846470049,-0.5339805825242718,0,0.21474358974358965,0.2102275
Cleanliness & Restroom Hygiene,2026-02-23,5,8.0,-0.8964214570007986,False,False,False,-0.35584415584415585,2,5,-0.8964214570007986,-0.375,0,0.35584415584415585,0.20967424
Food Quantity & Value for Money,2025-12-08,27,27.166666666666668,-0.012416852662165294,False,False,False,-0.2832995267072347,3,27,-0.012416852662165294,-0.006134969325153418,0,0.2832995267072347,0.18740374
Poor Experience & Food Hygiene Complaints,2026-02-16,3,5.166666666666667,-0.8725028717782279,False,False,False,-0.2214285714285713,6,3,-0.8725028717782279,-0.41935483870967744,0,0.2214285714285713,0.1839488
Food Quantity & Value for Money,2025-12-01,22,29.5,-0.5152236441509777,False,False,False,-0.2529538131041891,3,22,-0.5152236441509777,-0.2542372881355932,0,0.2529538131041891,0.18387738
Food Variety & Fast Service,2026-05-04,18,22.166666666666668,-0.2523785185710011,False,False,False,-0.3526030022357074,4,18,-0.2523785185710011,-0.18796992481203012,0,0.3526030022357074,0.17652087
Food Quantity & Value for Money,2025-12-22,26,28.833333333333332,-0.225004768750218,False,False,False,-0.42397200349956243,3,26,-0.225004768750218,-0.09826589595375719,0,0.42397200349956243,0.1750898
Food Variety & Fast Service,2026-07-20,13,18.833333333333332,-0.5985923974733207,False,False,False,-0.20441347270615573,4,13,-0.5985923974733207,-0.30973451327433627,0,0.20441347270615573,0.17368631
Service Quality,2026-05-18,9,17.833333333333332,-0.589982462512125,False,False,False,-0.2579520697167754,7,9,-0.589982462512125,-0.49532710280373826,0,0.2579520697167754,0.17353667
Ambience & Seating,2026-04-20,6,9.166666666666666,-0.7975031508064154,False,False,False,-0.2058823529411764,0,6,-0.7975031508064154,-0.3454545454545454,0,0.2058823529411764,0.17150101
Cleanliness & Restroom Hygiene,2025-12-01,9,14.166666666666666,-0.31503674604905463,False,False,False,-0.11706349206349209,2,9,-0.31503674604905463,-0.36470588235294116,0,0.11706349206349209,0.16703275
Ambience & Seating,2025-08-25,5,8.2,-0.916157334902189,False,False,False,0.0,0,5,-0.916157334902189,-0.39024390243902435,0,-0.0,0.1651749
Cleanliness & Restroom Hygiene,2026-04-13,6,9.833333333333334,-0.3228630688146022,False,False,False,-0.6944444444444446,2,6,-0.3228630688146022,-0.3898305084745763,0,0.6944444444444446,0.16393353
Service Quality,2026-07-27,9,14.0,-1.0380684981717492,False,False,False,-0.3111111111111111,7,9,-1.0380684981717492,-0.35714285714285715,0,0.3111111111111111,0.15926509
Food Variety & Fast Service,2025-12-01,15,25.666666666666668,-1.0406297715753678,False,False,False,-0.15124615909866845,4,15,-1.0406297715753678,-0.4155844155844156,0,0.15124615909866845,0.15286274
Poor Experience & Food Hygiene Complaints,2026-04-20,39,8.5,2.032881632043003,True,True,True,-0.17336152219873147,6,39,2.032881632043003,3.588235294117647,1,0.17336152219873147,0.14757952
Billing & Online Ordering Issues,2025-11-03,8,8.333333333333334,-0.11593472394004226,False,False,False,0.23981900452488691,1,8,-0.11593472394004226,-0.04000000000000007,0,-0.23981900452488691,0.14632556
Food Variety & Fast Service,2025-11-24,17,26.166666666666668,-0.9466451199128767,False,False,False,-0.288422131147541,4,17,-0.9466451199128767,-0.35031847133757965,0,0.288422131147541,0.1458225
Billing & Online Ordering Issues,2026-07-13,14,14.666666666666666,-0.08316026287998572,False,False,False,-0.4617604617604618,1,14,-0.08316026287998572,-0.045454545454545414,0,0.4617604617604618,0.14022988
Slow Service & Staff Negligence,2026-03-02,10,14.333333333333334,-0.4046723241370488,False,False,False,-0.23529411764705888,8,10,-0.4046723241370488,-0.3023255813953489,0,0.23529411764705888,0.13956797
Ambience & Seating,2026-02-02,10,13.833333333333334,-0.48155528613011783,False,False,False,-0.26959247648902807,0,10,-0.48155528613011783,-0.27710843373493976,0,0.26959247648902807,0.1391338
Food Quantity & Value for Money,2025-12-15,24,27.833333333333332,-0.2928285459947734,False,False,False,-0.3167479674796747,3,24,-0.2928285459947734,-0.13772455089820357,0,0.3167479674796747,0.13827638
Slow Service & Staff Negligence,2025-09-22,9,14.5,-1.1157311356586717,False,False,False,-0.18055555555555558,8,9,-1.1157311356586717,-0.3793103448275862,0,0.18055555555555558,0.1363802
Food Quantity & Value for Money,2026-04-06,21,26.5,-0.3893957789726336,False,False,False,-0.09941520467836251,3,21,-0.3893957789726336,-0.20754716981132076,0,0.09941520467836251,0.13491388
Food Quantity & Value for Money,2026-04-13,24,26.5,-0.1769980813511971,False,False,False,0.013516199562711328,3,24,-0.1769980813511971,-0.09433962264150944,0,-0.013516199562711328,0.12997253
Ambience & Seating,2026-04-13,8,10.666666666666666,-0.6308802978765116,False,False,False,-0.08362369337979092,0,8,-0.6308802978765116,-0.24999999999999994,0,0.08362369337979092,0.1295786
Ambience & Seating,2026-02-09,12,13.333333333333334,-0.16736548175114463,False,False,False,-0.1721311475409837,0,12,-0.16736548175114463,-0.10000000000000003,0,0.1721311475409837,0.12606557
Ambience & Seating,2026-02-16,14,14.5,-0.0681044706603994,False,False,False,-0.16481481481481475,0,14,-0.0681044706603994,-0.034482758620689655,0,0.16481481481481475,0.12426038
Food Variety & Fast Service,2025-12-08,14,21.666666666666668,-0.8432209113727814,False,False,False,0.0862068965517242,4,14,-0.8432209113727814,-0.35384615384615387,0,-0.0862068965517242,0.12348621
Service Quality,2026-03-09,18,19.333333333333332,-0.12983181444523034,False,False,False,-0.20303030303030312,7,18,-0.12983181444523034,-0.06896551724137925,0,0.20303030303030312,0.12140308
Cleanliness & Restroom Hygiene,2026-01-19,8,7.5,0.1557942382124396,False,False,False,-0.28482972136222906,2,8,0.1557942382124396,0.06666666666666667,0,0.28482972136222906,0.12043931
Parking & Accessibility,2026-01-12,6,8.666666666666666,-0.7741129997161826,False,False,False,-0.12770562770562766,5,6,-0.7741129997161826,-0.30769230769230765,0,0.12770562770562766,0.118140884
Ambience & Seating,2025-11-10,8,9.833333333333334,-1.2455047375590578,False,False,False,-0.17499999999999982,0,8,-1.2455047375590578,-0.18644067796610175,0,0.17499999999999982,0.116448104
Staff Courtesy & Behaviour,2026-04-13,5,8.333333333333334,-1.3315591032282714,False,False,False,0.05128205128205132,9,5,-1.3315591032282714,-0.4,0,-0.05128205128205132,0.11141164
Poor Experience & Food Hygiene Complaints,2025-08-18,3,4.25,-0.4186091791394607,False,False,False,-0.2142857142857142,6,3,-0.4186091791394607,-0.29411764705882354,0,0.2142857142857142,0.108612075
Ambience & Seating,2025-08-11,10,8.666666666666666,0.3202563076101744,False,False,False,-0.2250000000000001,0,10,0.3202563076101744,0.15384615384615394,0,0.2250000000000001,0.108241394
Staff Courtesy & Behaviour,2026-03-09,6,9.0,-0.39528470752104744,False,False,False,-0.29985652797704465,9,6,-0.39528470752104744,-0.3333333333333333,0,0.29985652797704465,0.10495573
Billing & Online Ordering Issues,2025-08-25,8,7.8,0.07207499701564478,False,False,False,-0.14516129032258074,1,8,0.07207499701564478,0.025641025641025664,0,0.14516129032258074,0.10412794
Billing & Online Ordering Issues,2025-09-29,8,7.833333333333333,0.049434732389013906,False,False,False,-0.0747028862478778,1,8,0.049434732389013906,0.02127659574468089,0,0.0747028862478778,0.10412794
Billing & Online Ordering Issues,2026-01-26,11,16.333333333333332,-0.3206419264224809,False,False,False,-0.30135135135135127,1,11,-0.3206419264224809,-0.32653061224489793,0,0.30135135135135127,0.10359706
Billing & Online Ordering Issues,2025-11-10,5,7.833333333333333,-0.8886042349318382,False,False,False,-0.02508960573476693,1,5,-0.8886042349318382,-0.36170212765957444,0,0.02508960573476693,0.10260707
Service Quality,2026-05-04,15,20.0,-0.36312055860882925,False,False,False,-0.35861423220973765,7,15,-0.36312055860882925,-0.25,0,0.35861423220973765,0.10152415
Poor Experience & Food Hygiene Complaints,2025-11-10,30,8.333333333333334,1.995706175080616,False,True,False,-0.10000000000000009,6,30,1.995706175080616,2.5999999999999996,0,0.10000000000000009,0.101474695
Food Quantity & Value for Money,2025-11-17,20,25.0,-0.6136008670922697,False,False,False,0.5808261091279958,3,20,-0.6136008670922697,-0.2,0,-0.5808261091279958,0.100536875
Food Variety & Fast Service,2026-06-01,15,22.5,-0.46238191503104503,False,False,False,-0.005219780219780201,4,15,-0.46238191503104503,-0.3333333333333333,0,0.005219780219780201,0.10001288
Billing & Online Ordering Issues,2026-04-13,8,8.166666666666666,-0.12539246564388185,False,False,False,-0.20486111111111116,1,8,-0.12539246564388185,-0.02040816326530605,0,0.20486111111111116,0.099359095
Cleanliness & Restroom Hygiene,2026-03-02,6,7.666666666666667,-0.48382062482261645,False,False,False,-0.4388714733542318,2,6,-0.48382062482261645,-0.2173913043478261,0,0.4388714733542318,0.099192165
Ambience & Seating,2026-04-27,11,9.833333333333334,0.30156729917499353,False,False,False,-0.2996794871794872,0,11,0.30156729917499353,0.1186440677966101,0,0.2996794871794872,0.097165346
Billing & Online Ordering Issues,2026-03-30,8,9.333333333333334,-0.5702659485122054,False,False,False,0.23035714285714293,1,8,-0.5702659485122054,-0.1428571428571429,0,-0.23035714285714293,0.09445146
Poor Experience & Food Hygiene Complaints,2026-07-06,5,7.166666666666667,-0.3706728665329306,False,False,False,-0.23684210526315796,6,5,-0.3706728665329306,-0.3023255813953489,0,0.23684210526315796,0.09407721
Service Quality,2026-01-12,13,14.0,-0.23312620206007847,False,False,False,-0.18496683861459107,7,13,-0.23312620206007847,-0.07142857142857142,0,0.18496683861459107,0.093450084
Ambience & Seating,2025-11-17,12,10.0,1.1952286093343947,False,False,False,-0.19914651493598856,0,12,1.1952286093343947,0.2,0,0.19914651493598856,0.09316939
Parking & Accessibility,2026-01-19,8,7.833333333333333,0.06140634384863429,False,False,False,-0.18518518518518534,5,8,0.06140634384863429,0.02127659574468089,0,0.18518518518518534,0.0922067
Ambience & Seating,2026-06-01,11,9.833333333333334,0.4298444069404405,False,False,False,-0.12387387387387383,0,11,0.4298444069404405,0.1186440677966101,0,0.12387387387387383,0.08754721
Ambience & Seating,2025-08-18,10,9.0,0.28867513459481287,False,False,False,-0.2435897435897436,0,10,0.28867513459481287,0.1111111111111111,0,0.2435897435897436,0.08638474
Food Quantity & Value for Money,2026-04-20,19,26.666666666666668,-0.5472468973568206,False,False,False,0.03908540160250151,3,19,-0.5472468973568206,-0.28750000000000003,0,-0.03908540160250151,0.08586745
Cleanliness & Restroom Hygiene,2026-06-22,8,9.333333333333334,-0.6454972243679106,False,False,False,-0.10526315789473695,2,8,-0.6454972243679106,-0.1428571428571429,0,0.10526315789473695,0.085371524
Billing & Online Ordering Issues,2026-06-08,11,15.5,-0.40233133558936535,False,False,False,-0.0016233766233766378,1,11,-0.40233133558936535,-0.2903225806451613,0,0.0016233766233766378,0.08513396
Food Quantity & Value for Money,2026-01-19,26,22.166666666666668,1.0813506307209335,False,False,False,0.12550200803212852,3,26,1.0813506307209335,0.1729323308270676,0,-0.12550200803212852,0.08343401
Ambience & Seating,2025-12-08,11,9.833333333333334,0.46980923864981705,False,False,False,0.02499999999999991,0,11,0.46980923864981705,0.1186440677966101,0,-0.02499999999999991,0.08310889
Ambience & Seating,2026-03-02,14,12.0,0.95346258924559,False,False,False,-0.11048557353976074,0,14,0.95346258924559,0.16666666666666666,0,0.11048557353976074,0.08245611
Staff Courtesy & Behaviour,2026-07-06,6,13.166666666666666,-0.5613940610154061,False,False,False,-0.045454545454545636,9,6,-0.5613940610154061,-0.5443037974683544,0,0.045454545454545636,0.081908494
Food Quantity & Value for Money,2026-04-27,24,27.0,-0.21583292365085774,False,False,False,-0.032379518072289226,3,24,-0.21583292365085774,-0.1111111111111111,0,0.032379518072289226,0.081746474
Ambience & Seating,2026-06-29,13,11.0,1.1180339887498918,False,False,False,0.0717703349282297,0,13,1.1180339887498918,0.18181818181818182,0,-0.0717703349282297,0.0800387
Slow Service & Staff Negligence,2026-02-23,11,15.333333333333334,-0.41266722209921475,False,False,False,-0.22197802197802186,8,11,-0.41266722209921475,-0.28260869565217395,0,0.22197802197802186,0.07816275
Ambience & Seating,2026-03-30,8,11.0,-0.8808303292720551,False,False,False,0.09777777777777774,0,8,-0.8808303292720551,-0.2727272727272727,0,-0.09777777777777774,0.07783536
Service Quality,2026-06-29,9,14.166666666666666,-1.3727030725871465,False,False,False,-0.11512791991101223,7,9,-1.3727030725871465,-0.36470588235294116,0,0.11512791991101223,0.07771336
Billing & Online Ordering Issues,2025-11-24,6,6.5,-0.16222142113076252,False,False,False,-0.3142857142857143,1,6,-0.16222142113076252,-0.07692307692307693,0,0.3142857142857143,0.077474594
Ambience & Seating,2026-06-22,11,11.0,0.0,False,False,False,-0.059523809523809534,0,11,0.0,0.0,0,0.059523809523809534,0.076488316
Ambience & Seating,2026-01-12,13,11.166666666666666,0.6415330278717846,False,False,False,0.2048726467331119,0,13,0.6415330278717846,0.164179104477612,0,-0.2048726467331119,0.07593812
Food Variety & Fast Service,2026-07-13,11,23.5,-0.9872866210552966,False,False,False,-0.15636704119850187,4,11,-0.9872866210552966,-0.5319148936170213,0,0.15636704119850187,0.07571645
Service Quality,2026-03-02,14,19.5,-0.5364896296670117,False,False,False,-0.08630952380952372,7,14,-0.5364896296670117,-0.28205128205128205,0,0.08630952380952372,0.07488345
Food Variety & Fast Service,2025-12-22,21,18.0,0.6454972243679017,False,False,False,-0.0851548269581055,4,21,0.6454972243679017,0.16666666666666666,0,0.0851548269581055,0.07433784
Food Quantity & Value for Money,2026-03-30,19,25.0,-0.3932418788198071,False,False,False,-0.17142857142857149,3,19,-0.3932418788198071,-0.24,0,0.17142857142857149,0.07398621
Service Quality,2025-12-22,9,13.5,-1.0190493307301363,False,False,False,-0.11309523809523792,7,9,-1.0190493307301363,-0.3333333333333333,0,0.11309523809523792,0.073517196
Poor Experience & Food Hygiene Complaints,2025-12-29,2,4.0,-0.8164965809277221,False,False,False,-0.0714285714285714,6,2,-0.8164965809277221,-0.5,0,0.0714285714285714,0.073430136
Staff Courtesy & Behaviour,2025-12-08,9,7.666666666666667,0.7613869876268814,False,False,False,-0.15517241379310343,9,9,0.7613869876268814,0.17391304347826084,0,0.15517241379310343,0.072303884
Billing & Online Ordering Issues,2025-09-01,6,7.5,-0.5795005569646918,False,False,False,-0.11111111111111116,1,6,-0.5795005569646918,-0.2,0,0.11111111111111116,0.07058142
Parking & Accessibility,2026-05-18,8,8.833333333333334,-0.45417026219547385,False,False,False,-0.1470588235294117,5,8,-0.45417026219547385,-0.0943396226415095,0,0.1470588235294117,0.070003964
Parking & Accessibility,2025-12-15,12,12.0,0.0,False,False,False,-0.2142857142857144,5,12,0.0,0.0,0,0.2142857142857144,0.0685229
Staff Courtesy & Behaviour,2026-07-20,12,13.5,-0.11730928305086626,False,False,False,0.17894736842105274,9,12,-0.11730928305086626,-0.1111111111111111,0,-0.17894736842105274,0.067003906
Staff Courtesy & Behaviour,2026-01-26,6,11.166666666666666,-0.6918677707147626,False,False,False,-0.12336719883889713,9,6,-0.6918677707147626,-0.46268656716417905,0,0.12336719883889713,0.066565126
Ambience & Seating,2026-05-25,9,9.0,0.0,False,False,False,-0.011538461538461497,0,9,0.0,0.0,0,0.011538461538461497,0.066340335
Ambience & Seating,2025-09-29,12,11.5,0.1109741904046188,False,False,False,-0.006688963210702337,0,12,0.1109741904046188,0.043478260869565216,0,0.006688963210702337,0.065117516
Cleanliness & Restroom Hygiene,2025-09-15,5,7.0,-0.7905694150420947,False,False,False,-0.19999999999999996,2,5,-0.7905694150420947,-0.2857142857142857,0,0.19999999999999996,0.06383072
Cleanliness & Restroom Hygiene,2025-09-22,5,6.666666666666667,-0.6269623282193989,False,False,False,-0.125,2,5,-0.6269623282193989,-0.25000000000000006,0,0.125,0.063698046
Service Quality,2025-08-18,13,13.5,-0.08617274844321392,False,False,False,0.05722326454033766,7,13,-0.08617274844321392,-0.037037037037037035,0,-0.05722326454033766,0.06366865
Food Quantity & Value for Money,2025-12-29,19,28.666666666666668,-0.758860741348727,False,False,False,-0.07389686337054768,3,19,-0.758860741348727,-0.33720930232558144,0,0.07389686337054768,0.06253078
Staff Courtesy & Behaviour,2025-12-22,8,6.666666666666667,0.5504818825631804,False,False,False,-0.15384615384615397,9,8,0.5504818825631804,0.19999999999999996,0,0.15384615384615397,0.06245259
Food Variety & Fast Service,2025-09-01,14,15.333333333333334,-0.26631182064565384,False,False,False,-0.12488262910798142,4,14,-0.26631182064565384,-0.08695652173913047,0,0.12488262910798142,0.06223577
Parking & Accessibility,2026-07-27,7,8.166666666666666,-0.5036101551853335,False,True,False,-0.1471861471861471,5,7,-0.5036101551853335,-0.1428571428571428,0,0.1471861471861471,0.061954338
Parking & Accessibility,2026-06-15,8,8.5,-0.16574838603294878,False,False,False,-0.14379084967320255,5,8,-0.16574838603294878,-0.058823529411764705,0,0.14379084967320255,0.06154819
Staff Courtesy & Behaviour,2026-03-16,11,9.666666666666666,0.17650112740455204,False,False,False,-0.23684210526315796,9,11,0.17650112740455204,0.1379310344827587,0,0.23684210526315796,0.06101889
Staff Courtesy & Behaviour,2026-03-30,9,10.333333333333334,-0.1873171623163389,False,False,False,-0.166326530612245,9,9,-0.1873171623163389,-0.12903225806451618,0,0.166326530612245,0.060772
Cleanliness & Restroom Hygiene,2025-09-29,9,7.666666666666667,0.6454972243679025,False,False,False,-0.15714285714285725,2,9,0.6454972243679025,0.17391304347826084,0,0.15714285714285725,0.06069173
Service Quality,2025-12-29,12,12.833333333333334,-0.19551547175144396,False,False,False,-0.22257053291536066,7,12,-0.19551547175144396,-0.06493506493506498,0,0.22257053291536066,0.060256746
Cleanliness & Restroom Hygiene,2026-03-09,5,6.666666666666667,-0.5305954499725132,False,False,False,0.5913461538461537,2,5,-0.5305954499725132,-0.25000000000000006,0,-0.5913461538461537,0.05956187
Ambience & Seating,2026-05-11,10,9.5,0.11562432251572013,False,False,False,0.3521739130434782,0,10,0.11562432251572013,0.05263157894736842,0,-0.3521739130434782,0.059477307
Slow Service & Staff Negligence,2025-09-08,10,14.5,-0.8774747729629105,False,False,False,-0.10904071773636992,8,10,-0.8774747729629105,-0.3103448275862069,0,0.10904071773636992,0.05916557
Staff Courtesy & Behaviour,2025-11-24,9,7.833333333333333,0.9979654098963538,False,False,False,0.08095238095238089,9,9,0.9979654098963538,0.148936170212766,0,-0.08095238095238089,0.058746573
Cleanliness & Restroom Hygiene,2026-07-06,6,8.0,-0.7905694150421,False,False,False,-0.03333333333333344,2,6,-0.7905694150421,-0.25,0,0.03333333333333344,0.05830398
Food Variety & Fast Service,2026-03-16,22,18.333333333333332,1.3073023934891985,False,False,False,-0.0841944125526215,4,22,1.3073023934891985,0.20000000000000007,0,0.0841944125526215,0.058079693
Food Quantity & Value for Money,2026-02-16,21,21.333333333333332,-0.1331559103228259,False,False,False,-0.13636363636363624,3,21,-0.1331559103228259,-0.015624999999999944,0,0.13636363636363624,0.05771668
Service Quality,2026-02-23,23,18.833333333333332,0.38592380627938655,False,True,False,0.06756756756756754,7,23,0.38592380627938655,0.2212389380530974,0,-0.06756756756756754,0.057617217
Ambience & Seating,2026-03-09,15,13.0,1.118033988749888,False,False,False,-0.14579759862778752,0,15,1.118033988749888,0.15384615384615385,0,0.14579759862778752,0.057484288
Food Variety & Fast Service,2025-09-22,13,14.833333333333334,-0.5014525865840697,False,False,False,-0.05737704918032782,4,13,-0.5014525865840697,-0.12359550561797757,0,0.05737704918032782,0.05653821
Slow Service & Staff Negligence,2026-02-09,9,15.833333333333334,-0.661945014460189,False,False,False,0.009920634920634885,8,9,-0.661945014460189,-0.43157894736842106,0,-0.009920634920634885,0.05624693
Slow Service & Staff Negligence,2026-06-08,14,14.5,-0.10684346079267207,False,False,False,-0.009679370840895318,8,14,-0.10684346079267207,-0.034482758620689655,0,0.009679370840895318,0.05575681
Food Quantity & Value for Money,2026-06-15,19,19.5,-0.11322770341445917,False,False,False,-0.09380804953560373,3,19,-0.11322770341445917,-0.02564102564102564,0,0.09380804953560373,0.054949924
Billing & Online Ordering Issues,2026-06-29,15,14.0,0.12198750911856679,False,False,False,-0.24143070044709392,1,15,0.12198750911856679,0.07142857142857142,0,0.24143070044709392,0.054866415
Billing & Online Ordering Issues,2026-04-20,10,8.333333333333334,1.1070186069251364,False,False,False,0.09558823529411775,1,10,1.1070186069251364,0.19999999999999993,0,-0.09558823529411775,0.054379173
Food Quantity & Value for Money,2025-11-03,20,25.333333333333332,-0.6652821030398852,False,False,False,-0.11902654867256635,3,20,-0.6652821030398852,-0.21052631578947364,0,0.11902654867256635,0.053973354
Ambience & Seating,2026-07-27,8,10.5,-0.7642723006446788,False,False,False,0.15909090909090917,0,8,-0.7642723006446788,-0.23809523809523808,0,-0.15909090909090917,0.053789403
Service Quality,2025-09-22,9,13.833333333333334,-1.202088674820034,False,False,False,-0.04527712724434041,7,9,-1.202088674820034,-0.3493975903614458,0,0.04527712724434041,0.053619884
Service Quality,2025-09-01,12,13.166666666666666,-0.25725559858588437,False,False,False,0.051001821493624755,7,12,-0.25725559858588437,-0.08860759493670882,0,-0.051001821493624755,0.052611418
Food Variety & Fast Service,2025-10-06,14,14.333333333333334,-0.1107018606925121,False,False,False,-0.1431784107946028,4,14,-0.1107018606925121,-0.023255813953488413,0,0.1431784107946028,0.052247107
Cleanliness & Restroom Hygiene,2025-09-08,9,7.333333333333333,0.7128324356402512,False,False,False,-0.2857142857142856,2,9,0.7128324356402512,0.22727272727272732,0,0.2857142857142856,0.051880516
Parking & Accessibility,2026-03-23,8,10.0,-0.8451542547285158,False,False,False,-0.1628205128205127,5,8,-0.8451542547285158,-0.2,0,0.1628205128205127,0.05182432
Food Quantity & Value for Money,2025-09-08,22,22.166666666666668,-0.06940429153883616,False,False,False,0.032608695652173836,3,22,-0.06940429153883616,-0.007518796992481256,0,-0.032608695652173836,0.050634425
Food Quantity & Value for Money,2026-06-08,18,20.333333333333332,-0.4900980294098016,False,False,False,-0.07804054054054066,3,18,-0.4900980294098016,-0.11475409836065568,0,0.07804054054054066,0.049906746
